NAICS.id,Description
212210,Iron Ore Mining
212234,Copper Ore and Nickel Ore Mining
212291,Uranium-Radium-Vanadium Ore Mining
221111,Hydroelectric Power Generation
221113,Nuclear Electric Power Generation
221114,Solar Electric Power Generation
221115,Wind Electric Power Generation
221116,Geothermal Electric Power Generation
221117,Biomass Electric Power Generation
325110,Petrochemical Manufacturing
325120,Industrial Gas Manufacturing
325211,Plastics Material and Resin Manufacturing
325212,Synthetic Rubber Manufacturing
325220,Artificial and Synthetic Fibers and Filaments Manufacturing
325411,Medicinal and Botanical Manufacturing
325412,Pharmaceutical Preparation Manufacturing
325920,Explosives Manufacturing
326130,"Laminated Plastics Plate, Sheet (except Packaging), and Shape Manufacturing"
326211,Tire Manufacturing (except Retreading)
331110,Iron and Steel Mills and Ferroalloy Manufacturing
331210,Iron and Steel Pipe and Tube Manufacturing from Purchased Steel
331221,Rolled Steel Shape Manufacturing
331222,Steel Wire Drawing
331313,Alumina Refining and Primary Aluminum Production
331315,"Aluminum Sheet, Plate, and Foil Manufacturing"
331511,Iron Foundries
331513,Steel Foundries (except Investment)
331523,Nonferrous Metal Die-Casting Foundries
331524,Aluminum Foundries (except Die-Casting)
331529,Other Nonferrous Metal Foundries (except Die-Casting)
332111,Iron and Steel Forging
332112,Nonferrous Forging
332114,Custom Roll Forming
332117,Powder Metallurgy Part Manufacturing
332410,Power Boiler and Heat Exchanger Manufacturing
332420,Metal Tank (Heavy Gauge) Manufacturing
332510,Hardware Manufacturing
332722,"Bolt, Nut, Screw, Rivet, and Washer Manufacturing"
332811,Metal Heat Treating
332812,"Metal Coating, Engraving (except Jewelry and Silverware), and Allied Services to Manufacturers"
332813,"Electroplating, Plating, Polishing, Anodizing, and Coloring"
332991,Ball and Roller Bearing Manufacturing
332992,Small Arms Ammunition Manufacturing
332993,Ammunition (except Small Arms) Manufacturing
332994,"Small Arms, Ordnance, and Ordnance Accessories Manufacturing"
333131,Mining Machinery and Equipment Manufacturing
333242,Semiconductor Machinery Manufacturing
333511,Industrial Mold Manufacturing
333514,"Special Die and Tool, Die Set, Jig, and Fixture Manufacturing"
333515,Cutting Tool and Machine Tool Accessory Manufacturing
333517,Machine Tool Manufacturing
333519,Rolling Mill and Other Metalworking Machinery Manufacturing
333611,Turbine and Turbine Generator Set Units Manufacturing
333612,"Speed Changer, Industrial High-Speed Drive, and Gear Manufacturing"
333613,Mechanical Power Transmission Equipment Manufacturing
333911,Pump and Pumping Equipment Manufacturing
333912,Air and Gas Compressor Manufacturing
334111,Electronic Computer Manufacturing
334112,Computer Storage Device Manufacturing
334118,Computer Terminal and Other Computer Peripheral Equipment Manufacturing
334220,Radio and Television Broadcasting and Wireless Communications Equipment Manufacturing
334310,Audio and Video Equipment Manufacturing
334412,Bare Printed Circuit Board Manufacturing
334413,Semiconductor and Related Device Manufacturing
334416,"Capacitor, Resistor, Coil, Transformer, and Other Inductor Manufacturing"
334417,Electronic Connector Manufacturing
334418,Printed Circuit Assembly (Electronic Assembly) Manufacturing
334510,Electromedical and Electrotherapeutic Apparatus Manufacturing
334511,"Search, Detection, Navigation, Guidance, Aeronautical, and Nautical System and Instrument Manufacturing"
334513,"Instruments and Related Products Manufacturing for Measuring, Displaying, and Controlling Industrial Process Variables"
334514,Totalizing Fluid Meter and Counting Device Manufacturing
334515,Instrument Manufacturing for Measuring and Testing Electricity and Electrical Signals
334516,Analytical Laboratory Instrument Manufacturing
334517,Irradiation Apparatus Manufacturing
334519,Other Measuring and Controlling Device Manufacturing
334613,Blank Magnetic and Optical Recording Media Manufacturing
334614,"Software and Other Prerecorded Compact Disc, Tape, and Record Reproducing "
335110,Electric Lamp Bulb and Part Manufacturing
335122,"Commercial, Industrial, and Institutional Electric Lighting Fixture Manufacturing"
335311,"Power, Distribution, and Specialty Transformer Manufacturing"
335312,Motor and Generator Manufacturing
335313,Switchgear and Switchboard Apparatus Manufacturing
335314,Relay and Industrial Control Manufacturing
335911,Storage Battery Manufacturing
335912,Primary Battery Manufacturing
335921,Fiber Optic Cable Manufacturing
336112,Light Truck and Utility Vehicle Manufacturing
336120,Heavy Duty Truck Manufacturing
336211,Motor Vehicle Body Manufacturing
336212,Truck Trailer Manufacturing
336310,Motor Vehicle Gasoline Engine and Engine Parts Manufacturing
336320,Motor Vehicle Electrical and Electronic Equipment Manufacturing
336330,Motor Vehicle Steering and Suspension Components (except Spring) Manufacturing
336340,Motor Vehicle Brake System Manufacturing
336350,Motor Vehicle Transmission and Power Train Parts Manufacturing
336360,Motor Vehicle Seating and Interior Trim Manufacturing
336370,Motor Vehicle Metal Stamping
336390,Other Motor Vehicle Parts Manufacturing
336411,Aircraft Manufacturing
336412,Aircraft Engine and Engine Parts Manufacturing
336413,Other Aircraft Parts and Auxiliary Equipment Manufacturing
336414,Guided Missile and Space Vehicle Manufacturing
336415,Guided Missile and Space Vehicle Propulsion Unit and Propulsion Unit Parts Manufacturing
336419,Other Guided Missile and Space Vehicle Parts and Auxiliary Equipment Manufacturing
336510,Railroad Rolling Stock Manufacturing
336611,Ship Building and Repairing
336992,"Military Armored Vehicle, Tank, and Tank Component Manufacturing"
339112,Surgical and Medical Instrument Manufacturing
339113,Surgical Appliance and Supplies Manufacturing
482111,Line-Haul Railroads
482112,Short Line Railroads
483111,Deep Sea Freight Transportation
483113,Coastal and Great Lakes Freight Transportation
483211,Inland Water Freight Transportation
483212,Inland Water Passenger Transportation
484110,"General Freight Trucking, Local"
484121,"General Freight Trucking, Long-Distance, Truckload"
485112,Commuter Rail Systems
485113,Bus and Other Motor Vehicle Transit Systems
485210,Interurban and Rural Bus Transportation
486110,Pipeline Transportation of Crude Oil
486210,Pipeline Transportation of Natural Gas
486910,Pipeline Transportation of Refined Petroleum Products
488111,Air Traffic Control
488310,Port and Harbor Operations
488320,Marine Cargo Handling
517410,Satellite Telecommunications
518210,"Data Processing, Hosting, and Related Services"
519130,Internet Publishing and Broadcasting and Web Search Portals
521110,Monetary Authorities-Central Bank
541360,Geophysical Surveying and Mapping Services
541370,Surveying and Mapping (except Geophysical) Services
541380,Testing Laboratories
621111,Offices of Physicians (except Mental Health Specialists)
621210,Offices of Dentists
621320,Offices of Optometrists
621391,Offices of Podiatrists
622110,General Medical and Surgical Hospitals
927110,Space Research and Technology
928110,National Security
928120,International Affairs
